CARD,PON,VLAN
1,1,20
1,2,21
1,3,22
1,4,23
1,5,24
1,6,25
1,7,26
1,8,27
1,9,28
1,10,29
1,11,30
1,12,31
1,13,32
1,14,33
1,15,34
1,16,35
2,1,36
2,2,37
2,3,38
2,4,39
2,5,40
2,6,41
2,7,42
2,8,43
2,9,44
2,10,45
2,11,46
2,12,47
2,13,48
2,14,49
2,15,50
2,16,51
3,1,52
3,2,53
3,3,54
3,4,55
3,5,56
3,6,57
3,7,58
3,8,59
3,9,60
3,10,61
3,11,62
3,12,63
3,13,64
3,14,65
3,15,66
3,16,67
4,1,68
4,2,69
4,3,70
4,4,71
4,5,72
4,6,73
4,7,74
4,8,75
4,9,76
4,10,77
4,11,78
4,12,79
4,13,80
4,14,81
4,15,82
4,16,83
5,1,84
5,2,85
5,3,86
5,4,87
5,5,88
5,6,89
5,7,90
5,8,91
5,9,92
5,10,93
5,11,94
5,12,95
5,13,96
5,14,97
5,15,98
5,16,99
6,1,100
6,2,101
6,3,102
6,4,103
6,5,104
6,6,105
6,7,106
6,8,107
6,9,108
6,10,109
6,11,110
6,12,111
6,13,112
6,14,113
6,15,114
6,16,115
7,1,116
7,2,117
7,3,118
7,4,119
7,5,120
7,6,121
7,7,122
7,8,123
7,9,124
7,10,125
7,11,126
7,12,127
7,13,128
7,14,129
7,15,130
7,16,131
8,1,132
8,2,133
8,3,134
8,4,135
8,5,136
8,6,137
8,7,138
8,8,139
8,9,140
8,10,141
8,11,142
8,12,143
8,13,144
8,14,145
8,15,146
8,16,147
